# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-02-13 15:29:11 EST       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05536290 LITTLE CALUMET RIVER AT SOUTH HOLLAND, IL
# -----------------------------------------------------------------------------------
#
# Data provided for site 05536290
#            TS   parameter     Description
#         50423       00065     Gage height, feet
#         50424       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	tz_cd	50423_00065	50423_00065_cd	50424_00060	50424_00060_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	05536290	2017-10-01 00:00	CST	4.91	A	24.7	A
USGS	05536290	2017-10-01 00:15	CST	4.91	A	24.7	A
USGS	05536290	2017-10-01 00:30	CST	4.91	A	24.7	A
USGS	05536290	2017-10-01 00:45	CST	4.91	A	24.7	A
USGS	05536290	2017-10-01 01:00	CST	4.91	A	24.7	A
USGS	05536290	2017-10-01 01:15	CST	4.91	A	24.7	A
USGS	05536290	2017-10-01 01:30	CST	4.91	A	24.7	A
USGS	05536290	2017-10-01 01:45	CST	4.92	A	25.4	A
USGS	05536290	2017-10-01 02:00	CST	4.92	A	25.4	A
USGS	05536290	2017-10-01 02:15	CST	4.92	A	25.4	A
USGS	05536290	2017-10-01 02:30	CST	4.92	A	25.4	A
USGS	05536290	2017-10-01 02:45	CST	4.93	A	26.1	A
USGS	05536290	2017-10-01 03:00	CST	4.93	A	26.1	A
USGS	05536290	2017-10-01 03:15	CST	4.93	A	26.1	A
USGS	05536290	2017-10-01 03:30	CST	4.93	A	26.1	A
USGS	05536290	2017-10-01 03:45	CST	4.94	A	26.9	A
USGS	05536290	2017-10-01 04:00	CST	4.94	A	26.9	A
USGS	05536290	2017-10-01 04:15	CST	4.94	A	26.9	A
USGS	05536290	2017-10-01 04:30	CST	4.95	A	27.6	A
USGS	05536290	2017-10-01 04:45	CST	4.95	A	27.6	A
USGS	05536290	2017-10-01 05:00	CST	4.95	A	27.6	A
USGS	05536290	2017-10-01 05:15	CST	4.95	A	27.6	A
USGS	05536290	2017-10-01 05:30	CST	4.95	A	27.6	A
USGS	05536290	2017-10-01 05:45	CST	4.95	A	27.6	A
USGS	05536290	2017-10-01 06:00	CST	4.96	A	28.3	A
USGS	05536290	2017-10-01 06:15	CST	4.96	A	28.3	A
USGS	05536290	2017-10-01 06:30	CST	4.96	A	28.3	A
USGS	05536290	2017-10-01 06:45	CST	4.96	A	28.3	A
USGS	05536290	2017-10-01 07:00	CST	4.96	A	28.3	A
USGS	05536290	2017-10-01 07:15	CST	4.96	A	28.3	A
USGS	05536290	2017-10-01 07:30	CST	4.97	A	29.0	A
