# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-02-13 15:19:38 EST       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05536580 STONY CREEK (WEST) NEAR WORTH, IL
# -----------------------------------------------------------------------------------
#
# Data provided for site 05536580
#            TS   parameter     Description
#        200613       00060     Discharge, cubic feet per second
#        200615       00065     Gage height, feet, [(2)]
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	200613_00060	200613_00060_cd	200615_00065	200615_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	05536580	2017-10-01 00:00	CST	4.88	P	25.32	P
USGS	05536580	2017-10-01 00:15	CST	4.63	P	25.31	P
USGS	05536580	2017-10-01 00:30	CST	4.63	P	25.31	P
USGS	05536580	2017-10-01 00:45	CST	4.38	P	25.30	P
USGS	05536580	2017-10-01 01:00	CST	4.63	P	25.31	P
USGS	05536580	2017-10-01 01:15	CST	4.63	P	25.31	P
USGS	05536580	2017-10-01 01:30	CST	4.38	P	25.30	P
USGS	05536580	2017-10-01 01:45	CST	4.14	P	25.29	P
USGS	05536580	2017-10-01 02:00	CST	4.14	P	25.29	P
USGS	05536580	2017-10-01 02:15	CST	4.63	P	25.31	P
USGS	05536580	2017-10-01 02:30	CST	4.89	P	25.32	P
USGS	05536580	2017-10-01 02:45	CST	4.89	P	25.32	P
USGS	05536580	2017-10-01 03:00	CST	4.63	P	25.31	P
USGS	05536580	2017-10-01 03:15	CST	4.38	P	25.30	P
USGS	05536580	2017-10-01 03:30	CST	4.38	P	25.30	P
USGS	05536580	2017-10-01 03:45	CST	4.14	P	25.29	P
USGS	05536580	2017-10-01 04:00	CST	3.91	P	25.28	P
