# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-02-13 15:19:53 EST       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05536500 TINLEY CREEK NEAR PALOS PARK, IL
# -----------------------------------------------------------------------------------
#
# Data provided for site 05536500
#            TS   parameter     Description
#         50431       00065     Gage height, feet
#         50432       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	tz_cd	50431_00065	50431_00065_cd	50432_00060	50432_00060_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	05536500	2017-10-01 00:00	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 00:15	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 00:30	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 00:45	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 01:00	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 01:15	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 01:30	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 01:45	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 02:00	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 02:15	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 02:30	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 02:45	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 03:00	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 03:15	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 03:30	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 03:45	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 04:00	CST	2.27	A	0.13	A
USGS	05536500	2017-10-01 04:15	CST	2.27	A	0.13	A
USGS	05536500	2017-10-01 04:30	CST	2.27	A	0.13	A
USGS	05536500	2017-10-01 04:45	CST	2.26	A	0.13	A
USGS	05536500	2017-10-01 05:00	CST	2.27	A	0.13	A
USGS	05536500	2017-10-01 05:15	CST	2.27	A	0.13	A
USGS	05536500	2017-10-01 05:30	CST	2.27	A	0.13	A
USGS	05536500	2017-10-01 05:45	CST	2.27	A	0.13	A
USGS	05536500	2017-10-01 06:00	CST	2.26	A	0.13	A
USGS	05536500	2017-10-01 06:15	CST	2.26	A	0.13	A
USGS	05536500	2017-10-01 06:30	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 06:45	CST	2.26	A	0.13	A
USGS	05536500	2017-10-01 07:00	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 07:15	CST	2.26	A	0.13	A
USGS	05536500	2017-10-01 07:30	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 07:45	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 08:00	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 08:15	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 08:30	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 08:45	CST	2.26	A	0.13	A
USGS	05536500	2017-10-01 09:00	CST	2.26	A	0.13	A
USGS	05536500	2017-10-01 09:15	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 09:30	CST	2.26	A	0.13	A
USGS	05536500	2017-10-01 09:45	CST	2.26	A	0.13	A
USGS	05536500	2017-10-01 10:00	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 10:15	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 10:30	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 10:45	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 11:00	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 11:15	CST	2.26	A	0.13	A
USGS	05536500	2017-10-01 11:30	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 11:45	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 12:00	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 12:15	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 12:30	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 12:45	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 13:00	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 13:15	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 13:30	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 13:45	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 14:00	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 14:15	CST	2.26	A	0.11	A
USGS	05536500	2017-10-01 14:30	CST	2.26	A	0.11	A
USGS	05536500	2017-10-01 14:45	CST	2.26	A	0.11	A
USGS	05536500	2017-10-01 15:00	CST	2.26	A	0.11	A
USGS	05536500	2017-10-01 15:15	CST	2.26	A	0.11	A
USGS	05536500	2017-10-01 15:30	CST	2.26	A	0.11	A
USGS	05536500	2017-10-01 15:45	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 16:00	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 16:15	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 16:30	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 16:45	CST	2.26	A	0.11	A
USGS	05536500	2017-10-01 17:00	CST	2.26	A	0.11	A
USGS	05536500	2017-10-01 17:15	CST	2.26	A	0.11	A
USGS	05536500	2017-10-01 17:30	CST	2.26	A	0.11	A
USGS	05536500	2017-10-01 17:45	CST	2.26	A	0.11	A
USGS	05536500	2017-10-01 18:00	CST	2.26	A	0.11	A
USGS	05536500	2017-10-01 18:15	CST	2.26	A	0.11	A
USGS	05536500	2017-10-01 18:30	CST	2.26	A	0.12	A
USGS	05536500	2017-10-01 18:45	CST	2.26	A	0.11	A
USGS	05536500	2017-10-01 19:00	CST	2.26	A	0.11	A
USGS	05536500	2017-10-01 19:15	CST	2.26	A	0.11	A
USGS	05536500	2017-10-01 19:30	CST	2.26	A	0.11	A
USGS	05536500	2017-10-01 19:45	CST	2.26	A	0.11	A
USGS	05536500	2017-10-01 20:00	CST	2.26	A	0.11	A
